Province,Year,Goods-producing industries  [T002]7,Service-producing industries  [T003]8,Industrial production  [T010]9,Information and communication technology sector  [T013]10,Energy sector  [T016]11,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
Alberta,2011,46.02,53.98,35.17,3.02,28.66,1.61,25.47,1.53,9.64,7.76,4.59,4.07,4.15,2.41,3.85,9.27,5.37,0.64,2.28,3.62,5.09,0.47,1.93,1.93,4.32
Alberta,2012,44.45,55.55,32.43,2.96,26.26,1.64,22.65,1.49,10.81,7.86,4.94,4.12,4.37,2.27,3.6,9.52,5.84,0.63,2.46,3.63,5.23,0.47,2.02,1.97,4.49
Alberta,2013,46.01,53.99,33.17,2.77,27.23,1.67,23.81,1.38,11.57,7.59,4.75,4.01,4.11,2.12,3.55,9.37,5.65,0.74,2.44,3.41,5.02,0.44,2.03,1.94,4.41
Alberta,2014,47.57,52.43,35.47,2.74,30.13,1.14,27.05,1.29,11.33,6.76,4.51,3.87,4.08,1.99,3.55,9.4,5.56,0.68,2.34,3.19,4.81,0.44,1.99,1.85,4.18
Alberta,2015,38.53,61.47,25.24,3.08,19.18,1.82,15.21,1.51,11.93,8.06,4.74,4.38,4.82,2.24,4.32,11.45,6.01,0.8,2.78,3.9,5.99,0.55,2.29,2.14,5.06
Alberta,2016,34.75,65.25,22.71,3.19,16.95,2.12,12.86,1.43,10.38,7.96,4.68,4.65,5.18,2.35,4.8,12.42,5.77,0.84,2.86,4.27,6.64,0.61,2.42,2.17,5.61
Alberta,2017,37.52,62.48,26.46,2.96,20.63,1.99,16.3,1.44,9.49,8.29,4.82,4.52,5.16,2.15,4.65,11.81,5.3,0.72,2.63,4.05,6.38,0.61,2.3,2.05,5.35
Alberta,2018,37.95,62.05,27.46,2.92,21.61,1.83,16.81,1.69,9.09,8.54,4.85,4.38,5.48,2.07,4.66,11.5,5.18,0.72,2.59,3.92,6.44,0.62,2.3,2.11,5.21
British Columbia,2010,23.13,76.87,13.92,4.4,6.1,1.78,4.78,1.97,7.69,6.92,3.96,5.97,5.27,3.58,6.05,17.61,5.43,0.65,2.56,5.76,7.34,1.04,2.91,2.36,6.39
British Columbia,2011,24.67,75.33,15.51,4.23,7.36,1.9,6.24,2.13,7.53,6.88,3.76,5.71,5.25,3.49,5.93,17.35,5.56,0.66,2.44,5.55,7.3,0.96,2.78,2.35,6.23
